"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-7","11391-JR-8","11391-JR-9"
"Acsm3",6.337094144497,6.153097602929,6.25922376022633,6.04916574274761,6.30182937707627,6.46947851405452,6.38479418534335,6.57275351219602,6.04899678060388,6.31919332602649,6.17637178667682,6.17638899474302,6.22355103660523,6.30923864266049,6.12934448245047,6.10653597927699,6.3281004135503,6.3758112401709,6.46360481107287,6.3207586673147,6.5063454456837,5.97753854707409,5.67470253979634,5.88727663405808,5.95919472921767,5.58359990203194,7.03251866697905,6.05677287475048,6.14439369985692,6.15282759927012,7.12138057664781,6.55039933440593,6.2637608579724,7.07911614698462,6.04787324924949,6.50907066590875,6.21281688463859,6.92734815828433,6.4055708441469,5.85297573026045,6.25258639132108,6.39160605542003,6.27088831190124,6.09512362513625,5.96443991938845,6.32142806862949,6.27302697237512,6.51054135594885,6.40511323849149,6.37795008324799
"BC006965",6.62715289310118,5.56709573998693,5.56709573998693,5.56709573998693,5.56709573998693,5.56709573998693,5.56709573998693,5.56709573998693,5.56709573998693,5.51692757092386,5.51692757092386,6.10369048534162,6.04624823300282,5.78461910527658,5.94740161236424,5.7181059848766,5.51692757092386,5.51692757092386,5.51692757092386,5.51692757092386,5.51692757092386,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,7.47493865642569,5.64485646048785,5.68324782051314,7.0841301502208,5.43199669305304,6.07759070371405,5.43199669305304,5.43199669305304,5.43199669305304,5.43199669305304,5.70499720106205,5.50890037607883,5.50890037607883,5.50890037607883,5.70558078203158,5.50890037607883,5.50890037607883,5.79817611609798,6.5866423254428,5.50890037607883
"Csn1s1",6.5328379979759,5.66102803458484,5.66102803458484,5.66102803458484,5.66102803458484,5.88327561116129,5.66102803458484,5.66102803458484,5.66102803458484,5.57212735396425,5.57212735396425,6.46051026537844,6.06257133991294,5.89974728742278,6.04334194577255,5.92001748540501,5.57212735396425,5.57212735396425,5.57212735396425,5.57212735396425,5.57212735396425,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,9.32988349129917,5.91286376760723,5.39379711087296,6.26829850452872,5.39379711087296,7.45120725940273,5.39379711087296,5.39379711087296,5.39379711087296,5.39379711087296,5.7370977333664,5.3979678806206,5.79010149791968,5.3979678806206,5.3979678806206,5.75728855270288,5.73502717328219,6.12887347494168,7.08563988000599,5.3979678806206
"Csn2",5.99662475456666,5.63620764925883,5.63620764925883,5.63620764925883,5.63620764925883,5.63620764925883,5.63620764925883,5.63620764925883,5.63620764925883,5.56206812608248,5.56206812608248,6.11569111091255,5.76309389398556,5.82975966043521,5.56206812608248,5.90995825752325,5.56206812608248,5.56206812608248,5.56206812608248,5.56206812608248,5.56206812608248,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,8.88872433476596,5.70477646535467,5.40401908493384,5.40401908493384,5.40401908493384,6.79101973250566,5.40401908493384,5.40401908493384,5.40401908493384,5.40401908493384,5.42262551976749,5.42262551976749,5.64948772197616,5.42262551976749,5.42262551976749,5.6304363174801,5.69804120710988,6.20648999326332,6.25549685428688,5.63208576974407
"Dlx3",6.69664411078943,7.0578241694546,6.43162029326828,6.22397665614497,6.1541532702241,5.63735915101469,5.74788669735741,6.89298049394442,6.20675488255962,6.19677741036633,5.7958776917596,6.84088971377088,6.88038418031771,6.78222373647338,6.34486704581288,6.30631272706014,5.81127357438489,6.196911011009,6.26830500089678,6.19834275165454,6.44343478950389,5.55782900272969,5.55782900272969,7.01699823536016,5.93214852398402,6.08723946868365,6.73521204495894,6.49620316731197,6.19694154028778,6.31878715595581,6.27954128669613,6.67688794841924,6.51452485364308,6.59655216369811,6.2530162737359,5.96816929731442,7.60280781066442,6.30676147984679,5.87503086161587,6.46471930129689,6.47711057989971,6.03599695228025,5.99870966346178,5.96415033873965,6.19619070602182,7.21552250642189,6.59795104865974,6.13445494006821,6.28810837560799,6.47980458301397
"Foxi1",6.13235222188636,5.54629963847507,5.78362397149333,5.54629963847507,5.54629963847507,5.54629963847507,5.54629963847507,5.54629963847507,5.54629963847507,5.57762904519121,5.57762904519121,5.57762904519121,5.57762904519121,5.90524897864975,5.77071370575896,5.77880745914396,5.57762904519121,5.57762904519121,5.57762904519121,5.57762904519121,5.57762904519121,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,7.54889054038173,5.64942337108616,5.43656360365135,6.0740173802659,5.43656360365135,6.29714794142913,5.43656360365135,5.43656360365135,5.43656360365135,5.43656360365135,5.74153823189938,5.64366663363573,5.46442809272502,5.66678583824871,5.46442809272502,5.46442809272502,5.46442809272502,5.96381128407604,6.03991717374303,5.46442809272502
"Gria3",10.0393443322784,10.3358993355571,9.67200050907096,9.74690773533561,10.3103531357239,10.4175763357825,10.0159447808026,9.85743382844639,9.79984893643981,10.1571472676362,10.2750625822577,9.84077161502539,10.1888710437421,9.87219574184438,9.09288981229647,10.0814941849284,10.3148498629229,10.0890298855505,10.1460886626097,10.2182672076854,9.98374403941698,10.0924541116335,10.0370152054826,9.55127864842227,10.0890300976433,9.81332706259953,9.93550070622468,9.94848389789502,10.0055638938541,10.1209340115471,10.0157284164467,10.0882454895065,10.0528260072666,10.0854194605843,9.94218968181471,10.2230799478918,9.80499668631029,10.1873778653654,10.2171807280709,10.2016869324748,10.1097021404157,10.0378226712627,9.26650041902224,9.8915110099993,9.90787136309749,10.1823017799945,10.1986941493425,10.0857261827448,10.1599991724282,10.3768810332894
"Hpgds",11.123653725721,10.8691747933496,10.5785812084339,10.4797385250384,10.9740470088413,10.9043322553761,11.0792590917656,10.5988119049335,10.3090915972623,10.9929077557643,10.8698722575631,10.3885939050941,10.5099481945367,10.6820908443786,10.2840070671033,10.9220353987604,11.3373425557041,11.1596319646828,10.6185274816525,10.8089266157744,10.6483694399482,9.79037945808574,10.9097647356096,9.90173621601468,10.6724222374568,10.4505555525147,10.751879246809,10.4934642222866,10.8753089365344,10.9308542012518,10.8505466855232,11.156556621124,10.9299144629509,11.0588046112245,11.1242758896579,11.0001740770001,10.7191744274324,11.2253822795532,11.0672179214884,10.6934895623394,10.7871673499869,10.6526596654102,9.96936165457977,9.63711901834712,10.6319150257439,10.9746748803866,10.8439333307039,11.350029403212,11.5430886032559,11.2952623025091
"Padi3",6.60855804986463,6.79303878570313,6.17393062523358,6.05447129644111,5.79172797979844,5.6756552656462,5.80457623969596,6.55957048996278,6.75447313361946,6.14073877087339,6.13770350376745,6.7816113061427,6.35201306166413,6.48977388454579,6.44972148358647,6.27302929557072,5.80012284833631,6.18358861475884,6.09799971955593,5.99457593605966,6.25379072975899,5.56399131631327,5.93416592724847,6.74909578636083,5.78050823654563,6.49985669939687,5.7847507885564,6.25033271719124,5.88550129472418,6.1051509741098,6.5330927834739,6.0382536991694,5.99808184307601,6.65118826993746,6.17838439276711,6.1054683114333,8.37412013628354,5.849782862686,6.11122187824549,6.28527824396336,6.43453628806079,6.13362858350359,6.05436418658648,5.93621915582727,6.28719076407547,6.69173229488802,6.28222268343776,6.14227956555238,6.14213326379815,6.35791750978707
"Pex26",8.77927360449993,8.83255887137417,9.21782464224286,9.05182153419354,8.81421436145688,8.86621279956213,8.9154496051708,8.80404032957825,9.0917436941968,8.87342174655059,8.94525786517364,8.86300041268219,9.23057633721514,8.93411620813973,9.02758592452988,9.00859261165643,8.90022832006422,8.67956884954977,8.90434982357041,8.85956071835176,8.93792710555005,9.20264110882329,9.0239523959309,9.23211730740315,9.04543565328619,9.05015964061206,9.13487041704166,9.12765906752925,8.52816799276363,8.70359813828372,8.8733765966236,8.66117602861198,8.86381498240015,9.07590852787332,8.89135959071077,8.91608776603934,8.79447601549188,8.87589215679415,8.75941019893296,8.91652412631816,8.77161142646034,9.09593812474017,9.33844314443163,9.07675550306396,9.08793141322421,8.88859727355948,8.71480946690926,8.82848230856704,8.80864071270776,8.69227889553099
"Rims1",5.50719511197901,5.50719511197901,5.50719511197901,5.50719511197901,5.8799883850353,5.50719511197901,5.89114678995468,5.7248873095005,5.50719511197901,5.73456250543996,5.54973473182488,5.54973473182488,5.54973473182488,5.54973473182488,5.54973473182488,5.54973473182488,5.74473265230421,5.54973473182488,5.74748345686193,5.7609344059476,5.54973473182488,5.47599298331655,5.69010359859827,5.47599298331655,5.47599298331655,5.71381382707157,5.85761914510371,5.69487572772335,5.47599298331655,5.83144601518536,5.47599298331655,5.47599298331655,5.83086957390781,5.47599298331655,5.47599298331655,5.47599298331655,5.96527858520106,5.47599298331655,5.47599298331655,5.87392292971861,5.88329271216553,5.49199755292221,5.49199755292221,5.49199755292221,5.49199755292221,5.85131822500449,5.68689348091471,5.49199755292221,5.7811693270093,5.49199755292221
"Smad4",11.4522343959238,11.687674114366,11.4349387422671,11.6847921053333,11.4858650981167,11.3607593395467,11.3531980234441,11.4085498868199,11.6548354135949,11.4701958008989,11.4875154729647,11.5860762849041,11.6234672280243,11.48196601561,11.5971736559754,11.541718487366,11.3329118627358,11.5729934072059,11.4502672490429,11.3642251990032,11.5219521621519,11.4990712350147,11.460895062688,11.8326743594955,11.5451499991383,11.6113345204225,11.5142230253633,11.5682945369061,11.4284075931269,11.4353412865162,11.4829672225752,11.4713157930549,11.3710864410551,11.4355427869143,11.4135038245859,11.4434472793895,11.4919319331114,11.4098479542039,11.5661350247731,11.5670629293134,11.5406172798807,11.5099479750949,11.6978527793854,11.697217111023,11.5671113524926,11.5919378497283,11.5032708329918,11.3810317905991,11.2191777085478,11.3172210084923
"Yy2",6.18910313596382,6.18910313596382,6.18910313596382,6.18910313596382,7.77921067762958,7.81111876656077,7.77222937422819,7.31344486328021,7.58191730979863,6.74749355138619,7.07447761352649,6.8171729794909,6.54590257586894,7.09969051633977,6.92961472179363,6.89937651541735,6.91792159628182,7.39045639616743,7.16409599569941,7.22934511741396,7.20356380108431,7.43055526533013,6.15992082049097,6.77368679103194,7.17788924628031,6.69953642222529,6.94915776138927,6.83211543445337,6.23749487271925,7.46436492552689,7.18895230886538,7.05929571456587,6.83221873508716,7.0779220262515,7.07105278360849,6.92936881133954,7.53240102749699,7.34278201108326,7.57869225841406,6.69285246958484,7.34400108073799,7.05202100133895,6.99201944283542,7.35308357225677,6.34071279900784,6.99330146497896,6.47044518976744,7.22480634644251,7.12162926046938,7.12390599255657
